Contigs/genes number,CA_2to10DPI_align_un.txt,CA_2to10DPI_align_mult.txt,CA_11to28DPI_align_un.txt,CA_11to28DPI_align_mult.txt,CA_root_align_un.txt,CA_root_align_mult.txt
CONTIG311,0,0,1,1,1,1
CONTIG312,4,4,1,1,3,3
CONTIG313,3,3,4,4,6,6
CONTIG314,11,11,7,9,2,2
CONTIG315,0,0,2,2,1,1
CONTIG316,0,0,4,4,2,2
CONTIG317,4,6,2,6,2,2
CONTIG318,13,13,16,16,11,11
CONTIG319,0,0,7,7,2,2
CONTIG320,2,2,2,2,0,0
CONTIG321,0,0,0,0,0,0
CONTIG322,0,0,2,2,0,0
CONTIG323,45,47,42,44,21,23
CONTIG324,1,1,1,1,2,2
CONTIG325,0,0,0,0,0,0
CONTIG326,2,2,3,3,0,0
CONTIG327,3,3,1,1,2,2
CONTIG328,6,6,4,6,11,15
CONTIG329,1,1,5,5,2,2
CONTIG330,4,4,1,1,2,2
CONTIG331,0,0,4,4,0,0
CONTIG332,0,0,0,0,0,0
CONTIG333,1,1,3,3,0,0
CONTIG334,0,0,3,3,0,0
CONTIG335,1,1,0,0,3,3
CONTIG336,0,0,25,25,1,1
CONTIG337,3,3,4,4,2,2
CONTIG338,115,115,34,36,59,61
CONTIG339,0,0,1,1,2,2
CONTIG340,10,12,12,14,7,7
CONTIG341,10,10,14,18,3,5
CONTIG342,4,4,7,7,1,1
CONTIG343,0,0,5,5,1,1
CONTIG344,0,0,0,0,0,0
CONTIG345,2,2,1,2,0,0
CONTIG346,8,8,0,0,9,9
CONTIG347,2,2,0,2,0,0
CONTIG348,2,2,0,0,0,0
CONTIG349,2,2,0,0,1,1
CONTIG350,4,4,8,8,12,12
CONTIG351,9,9,6,6,3,3
CONTIG352,0,0,0,0,0,0
CONTIG353,0,0,1,1,0,0
CONTIG354,0,0,0,0,0,0
CONTIG355,0,0,0,0,0,0
CONTIG356,5,5,2,2,4,4
CONTIG357,0,0,0,0,0,0
CONTIG358,12,12,13,15,10,12
CONTIG359,0,0,2,2,0,0
CONTIG360,3,3,3,3,1,1
CONTIG361,2,4,4,4,1,1
CONTIG362,0,0,1,1,1,1
CONTIG363,0,0,1,1,0,0
