Geneid,nodule_al_uniq,root_al_uniq,nodule_almult,root_almult
gene:PHAVU_001G046700g,361,464,364,473
gene:PHAVU_001G046800g,370,568,436,680
gene:PHAVU_001G046900g,1,13,6,22
gene:PHAVU_001G0470001g,0,0,186,118
gene:PHAVU_001G0470000g,970,359,971,361
gene:PHAVU_001G047100g,41,76,42,76
gene:PHAVU_001G047200g,324,110,327,109
gene:PHAVU_001G047300g,918,1196,925,1199
gene:PHAVU_001G047400g,1,1,1,1
gene:PHAVU_001G047500g,2,0,2,0
gene:PHAVU_001G047600g,545,1450,549,1468
gene:PHAVU_001G047700g,330,144,330,145
gene:PHAVU_001G047800g,0,1,17,28
gene:PHAVU_001G047900g,2,15,85,216
gene:PHAVU_001G048000g,1,1,34,42
gene:PHAVU_001G048100g,5,6,84,173
gene:PHAVU_001G048200g,15,40,92,174
gene:PHAVU_001G048300g,12,17,30,62
gene:PHAVU_001G048400g,1,3,17,30
gene:PHAVU_001G048500g,0,0,91,154
gene:PHAVU_001G0486001g,0,0,31,28
gene:PHAVU_001G0486000g,9,15,126,253
gene:PHAVU_001G048700g,3,4,90,176
gene:PHAVU_001G048800g,7,18,102,205
gene:PHAVU_001G048900g,1,1,88,182
gene:PHAVU_001G0490001g,3,1,43,61
gene:PHAVU_001G0490000g,4,13,110,219
gene:PHAVU_001G049100g,7,58,65,209
gene:PHAVU_001G049200g,2,2,17,35
gene:PHAVU_001G049300g,5,15,69,145
gene:PHAVU_001G049400g,758,669,761,669
gene:PHAVU_001G049500g,3593,3395,3601,3414
gene:PHAVU_001G049600g,1619,3260,1630,3285
gene:PHAVU_001G049700g,863,734,871,741
gene:PHAVU_001G049800g,72,1,72,1
gene:PHAVU_001G049900g,502,758,508,762
gene:PHAVU_001G050000g,22,41,28,52
gene:PHAVU_001G050100g,1,0,1,0
gene:PHAVU_001G050200g,0,3,0,3
gene:PHAVU_001G050300g,28,6,28,6
gene:PHAVU_001G050400g,0,0,0,0
gene:PHAVU_001G050500g,3,6,6,6
gene:PHAVU_001G050600g,1485,697,1485,698
gene:PHAVU_001G050700g,88,39,88,39
gene:PHAVU_001G050800g,78,70,78,70
gene:PHAVU_001G050900g,435,303,437,307
gene:PHAVU_001G051000g,131,192,314,222
gene:PHAVU_001G051100g,0,17,1,20
gene:PHAVU_001G051200g,1121,825,1125,830
gene:PHAVU_001G051300g,3579,11668,3588,11695
gene:PHAVU_001G051400g,4,73,4,75
gene:PHAVU_001G051500g,0,0,0,0
gene:PHAVU_001G051600g,0,0,0,0
gene:PHAVU_001G051700g,1706,1298,1747,1332
gene:PHAVU_001G0518001g,27,33,27,33
gene:PHAVU_001G0518000g,21,22,21,22
gene:PHAVU_001G051900g,145,110,146,110
gene:PHAVU_001G052000g,486,563,492,574
gene:PHAVU_001G052100g,0,0,1,1
gene:PHAVU_001G052200g,48,467,54,521
gene:PHAVU_001G052300g,29,135,41,171
gene:PHAVU_001G052400g,40,71,46,125
gene:PHAVU_001G052500g,0,2,0,2
gene:PHAVU_001G052600g,53,150,54,150
