,Groupe,Nombre de gènes (nbG),nbG Lupinus A.,nbG Medicago T.,nbG Phaseolus V.,nbG Glycine M.,Lotus J.,,somme(D:H)
OG0000483,OG0000483,27,5,4,3,9,6,,27
OG0000484,OG0000484,27,0,1,2,7,17,,27
OG0000485,OG0000485,27,1,13,4,7,2,,27
OG0000486,OG0000486,27,1,19,0,1,6,,27
OG0000487,OG0000487,27,4,4,6,11,2,,27
OG0000488,OG0000488,27,2,6,3,10,6,,27
OG0000489,OG0000489,27,1,8,3,13,2,,27
OG0000490,OG0000490,27,1,19,0,6,1,,27
OG0000491,OG0000491,27,0,10,6,6,5,,27
OG0000492,OG0000492,27,1,3,5,15,3,,27
OG0000493,OG0000493,27,2,7,4,8,6,,27
OG0000494,OG0000494,27,2,9,1,3,12,,27
OG0000495,OG0000495,27,0,2,0,24,1,,27
OG0000496,OG0000496,27,6,9,4,5,3,,27
OG0000497,OG0000497,27,0,1,3,21,2,,27
OG0000498,OG0000498,27,0,7,7,12,1,,27
OG0000499,OG0000499,27,5,5,3,9,5,,27
OG0000500,OG0000500,27,6,4,2,6,9,,27
OG0000501,OG0000501,27,0,5,5,11,6,,27
OG0000502,OG0000502,27,2,4,3,13,5,,27
OG0000503,OG0000503,27,1,7,6,9,4,,27
OG0000504,OG0000504,27,0,22,0,3,2,,27
OG0000505,OG0000505,27,7,13,1,2,4,,27
